"","ID1","ID2","ID3","ID4","ID5","Kills","Time","Win","Gold","Killspermin","Goldpermin","Assists","Intensity","Assistspermin","Region","IndegCent","OutdegCent"
"2892",3,4,4,4,2,17,22.8333333333333,0,41312,0.744525547445256,1809.28467153285,20,0.0703034959661929,0.117001438542277,"Brazil",0.311111111111111,0.311111111111111
"2893",4,5,8,2,8,27,30.95,0,55721,0.872374798061389,1800.35541195477,39,0.0686591276252019,0.070988435670645,"Brazil",0.255555555555556,0.255555555555556
"2894",2,9,12,13,10,46,31.15,1,71742,1.47672552166934,2303.113964687,75,0.0764800302143329,0.0834774005549701,"Brazil",0.222222222222222,0.222222222222222
"2895",10,10,9,6,15,50,37.5833333333333,1,82825,1.33037694013304,2203.76940133038,43,0.0539152759948652,0.0545130063274025,"Brazil",0.266666666666667,0.266666666666667
"2896",2,0,14,5,11,32,31.5166666666667,0,61798,1.01533580116341,1960.80380750925,38,0.0520685026237644,0.0644316743202584,"Brazil",0.211111111111111,0.322222222222222
"2897",2,1,8,2,0,13,27.1,0,46556,0.47970479704797,1717.93357933579,19,0.0638660232756174,0.061273675467382,"Brazil",0.233333333333333,0.344444444444444
"2898",7,15,3,8,7,40,34.1166666666667,1,72408,1.17244748412311,2122.36443575965,77,0.0512945774303859,0.0541261784316725,"Brazil",0.244444444444444,0.244444444444444
"2899",7,2,5,8,8,30,23.5833333333333,1,52222,1.27208480565371,2214.36042402827,42,0.0539672341792483,0.0251719961542784,"Brazil",0.266666666666667,0.266666666666667
"2900",7,3,2,2,3,17,30.0666666666667,0,51879,0.565410199556541,1725.46563192905,22,0.0633001931192333,0.0652651658546418,"Brazil",0.277777777777778,0.277777777777778
"2901",1,2,1,3,1,8,19.3333333333333,0,30608,0.413793103448276,1583.1724137931,8,0.0747126436781609,0.104340071343639,"Brazil",0.144444444444444,0.144444444444444
"2902",5,3,4,5,1,18,15.6666666666667,1,34758,1.14893617021277,2218.59574468085,21,0.111702127659574,0.028519692168402,"Brazil",0.222222222222222,0.333333333333333
"2903",5,0,8,5,0,18,16.7333333333333,1,34344,1.07569721115538,2052.43027888446,13,0.0298804780876494,0.010714115648958,"Brazil",0.144444444444444,0.255555555555556
"2904",1,5,3,5,2,16,25.4166666666667,0,44430,0.629508196721311,1748.06557377049,22,0.0719050310910119,0.082042461703843,"Brazil",0.311111111111111,0.311111111111111
"2905",8,12,3,0,7,30,31.15,1,65893,0.963081861958267,2115.34510433387,65,0.0567971354488208,0.0474069188336867,"Brazil",0.266666666666667,0.266666666666667
"2906",3,1,1,3,4,12,20.65,0,36573,0.581113801452785,1771.08958837772,20,0.0704380365397315,0.0375214722487674,"Brazil",0.322222222222222,0.211111111111111
"2907",5,7,5,10,3,30,30.6166666666667,1,62046,0.979858464888405,2026.5432770822,46,0.0411824572199475,0.0309372841391004,"Brazil",0.244444444444444,0.244444444444444
"2908",5,3,0,1,6,15,28.6666666666667,0,47104,0.523255813953488,1643.16279069767,16,0.0550387596899225,0.0863980530016225,"Brazil",0.2,0.311111111111111
"2909",7,7,9,7,7,37,29.6833333333333,1,62122,1.24649073554183,2092.82425603593,58,0.05542373802322,0.0578821744655751,"Brazil",0.222222222222222,0.222222222222222
"2910",10,8,1,1,3,23,18.7333333333333,1,39901,1.22775800711744,2129.94661921708,28,0.0593119810201661,0.028495079849546,"Brazil",0.3,0.3
"2911",6,8,2,3,4,23,31.4666666666667,0,56061,0.730932203389831,1781.59957627119,46,0.064522342064715,0.0676664392415973,"Brazil",0.266666666666667,0.266666666666667
"2912",5,6,10,6,9,36,29.15,0,58991,1.23499142367067,2023.70497427101,55,0.0550964187327824,0.0623733042257914,"Brazil",0.222222222222222,0.222222222222222
"2913",3,0,3,3,2,11,28,0,45885,0.392857142857143,1638.75,20,0.0654761904761905,0.0701530612244898,"Brazil",0.3,0.3
"2914",3,4,3,4,0,14,27.2833333333333,0,46930,0.513133781307269,1720.09773976787,26,0.0644193924584884,0.0779171637555326,"Brazil",0.3,0.3
"2915",7,26,32,7,15,87,24.6,0,99842,3.53658536585366,4058.61788617886,83,0.0430772964446062,0.117324343975147,"Brazil",0.233333333333333,0.233333333333333
"2916",18,16,16,2,9,61,21.5,0,83200,2.83720930232558,3869.76744186047,56,0.0437756497948016,0.103839913466739,"Brazil",0.244444444444444,0.244444444444444
"2917",4,12,18,8,13,55,21.2,1,86677,2.59433962264151,4088.53773584906,66,0.0483202945237,0.0934496262014952,"Brazil",0.233333333333333,0.233333333333333
"2918",3,3,0,6,10,22,18,0,56714,1.22222222222222,3150.77777777778,21,0.0724206349206349,0.225308641975309,"Brazil",0.222222222222222,0.333333333333333
"2919",4,4,11,8,8,35,30.15,1,60893,1.16086235489221,2019.66832504146,69,0.0461975835110163,0.0429032284679422,"Brazil",0.222222222222222,0.222222222222222
"2920",7,1,3,1,8,20,20.4,1,42933,0.980392156862745,2104.55882352941,29,0.0637254901960784,0.0312379853902345,"Brazil",0.277777777777778,0.277777777777778
"2921",3,5,1,3,10,22,25.6,1,54371,0.859375,2123.8671875,16,0.0712316176470588,0.04730224609375,"Brazil",0.233333333333333,0.233333333333333
"2922",6,3,1,4,2,16,18.8166666666667,0,32578,0.850310008857396,1731.33746678477,19,0.067638296159111,0.11862163542519,"Brazil",0.222222222222222,0.333333333333333
"2923",4,7,3,0,2,16,27.2666666666667,0,46441,0.58679706601467,1703.21515892421,28,0.047881010594947,0.0632169822035975,"Brazil",0.166666666666667,0.277777777777778
"2924",7,5,4,0,8,24,29.85,1,58825,0.804020100502512,1970.68676716918,37,0.0538926516641177,0.0415253262403587,"Brazil",0.266666666666667,0.266666666666667
"2925",12,11,5,8,3,39,30.0833333333333,1,62001,1.29639889196676,2060.97506925208,52,0.0299168975069252,0.0198893501431082,"Brazil",0.266666666666667,0.266666666666667
"2926",14,1,0,8,5,28,21.1,1,46569,1.32701421800948,2207.06161137441,42,0.057925223802001,0.0494148828642663,"Brazil",0.2,0.311111111111111
"2927",5,9,6,0,5,25,31.25,0,59345,0.8,1899.04,60,0.06016,0.048128,"Brazil",0.266666666666667,0.266666666666667
"2928",10,8,6,9,6,39,31.2333333333333,1,67278,1.24866595517609,2154.04482390608,68,0.040317799122495,0.034853166797461,"Brazil",0.233333333333333,0.233333333333333
"2929",6,29,19,12,9,75,25.2666666666667,1,105498,2.96833773087071,4175.38258575198,62,0.0451593261619647,0.139410057017147,"Brazil",0.222222222222222,0.222222222222222
"2930",7,2,6,8,14,37,17.7833333333333,1,72543,2.08059981255858,4079.26897844424,29,0.0666458398417161,0.202373496801462,"Brazil",0.255555555555556,0.255555555555556
"2931",1,5,6,16,3,31,36.6166666666667,1,69058,0.846609012289486,1885.97177969959,61,0.0561805058846479,0.0537000738997545,"Brazil",0.255555555555556,0.255555555555556
"2932",12,20,18,11,2,63,20.9,1,88474,3.01435406698565,4233.20574162679,57,0.0554416343890028,0.167120716100822,"Brazil",0.255555555555556,0.255555555555556
"2933",5,0,0,4,4,13,28.05,0,49058,0.463458110516934,1748.94830659537,19,0.0639252566230254,0.0660902831396697,"Brazil",0.233333333333333,0.344444444444444
"2934",2,5,2,2,4,15,28.5333333333333,0,47485,0.525700934579439,1664.19392523364,17,0.0504672897196262,0.0442178356188313,"Brazil",0.2,0.311111111111111
"2935",8,7,1,6,11,33,27.6333333333333,0,54134,1.19420989143546,1959.01085645356,47,0.0519625127586527,0.0733367188511745,"Brazil",0.255555555555556,0.255555555555556
"2936",1,6,8,5,4,24,25.9666666666667,0,48444,0.924261874197689,1865.62259306804,24,0.0632679259123418,0.0682221537437319,"Brazil",0.288888888888889,0.288888888888889
"2937",5,5,4,10,5,29,29.0166666666667,0,58842,0.999425617461229,2027.86904078116,33,0.054566341183228,0.0676986197333559,"Brazil",0.266666666666667,0.266666666666667
"2938",3,8,6,13,8,38,30.6833333333333,1,62412,1.23845736013036,2034.06844106464,86,0.0479279164137138,0.0265543045855448,"Brazil",0.233333333333333,0.233333333333333
"2939",4,0,5,8,10,27,31.6666666666667,1,65995,0.852631578947368,2084.05263157895,63,0.0610526315789474,0.0289196675900277,"Brazil",0.277777777777778,0.277777777777778
"2940",8,8,11,2,6,35,30.3,0,55702,1.15511551155116,1838.3498349835,67,0.0531719838650532,0.0631746342951127,"Brazil",0.222222222222222,0.222222222222222
"2941",0,1,0,2,1,4,16.0333333333333,0,21460,0.249480249480249,1338.46153846154,4,0.0540540540540541,0.0505703208405911,"Brazil",0.0777777777777778,0.188888888888889
"2942",3,5,7,8,2,25,28.2,1,57950,0.886524822695036,2054.96453900709,52,0.0354609929078014,0.0125748201800714,"Brazil",0.255555555555556,0.255555555555556
"2943",5,3,7,8,5,28,26.75,0,49654,1.04672897196262,1856.22429906542,47,0.0607476635514019,0.090837627740414,"Brazil",0.244444444444444,0.244444444444444
"2944",7,7,2,5,3,24,27.5,1,56896,0.872727272727273,2068.94545454545,53,0.0545454545454545,0.0277685950413223,"Brazil",0.244444444444444,0.244444444444444
"2945",10,0,7,7,2,26,27.9833333333333,0,49590,0.929124478856462,1772.12626563431,48,0.0425423296179699,0.0638515012729506,"Brazil",0.288888888888889,0.288888888888889
"2946",6,7,5,9,27,54,15.7833333333333,1,69577,3.42133051742344,4408.25765575502,65,0.0679939217554794,0.176626238139894,"Brazil",0.266666666666667,0.266666666666667
"2947",16,0,20,10,3,49,32.8,1,74155,1.49390243902439,2260.82317073171,88,0.040351506456241,0.0418277810826889,"Brazil",0.288888888888889,0.288888888888889
"2948",1,7,5,7,7,27,32.35,0,56595,0.834621329211746,1749.45904173107,66,0.0547582247736807,0.059243828966888,"Brazil",0.233333333333333,0.233333333333333
"2949",0,3,2,1,8,14,15.1166666666667,1,30227,0.926130099228225,1999.58103638368,21,0.0614269963773823,0.0568893902502768,"Brazil",0.333333333333333,0.333333333333333
"2950",12,7,4,4,7,34,22.3333333333333,1,51506,1.52238805970149,2306.23880597015,38,0.054726368159204,0.0441078191133883,"Brazil",0.277777777777778,0.277777777777778
"2951",3,2,6,7,2,20,31.55,0,57700,0.63391442155309,1828.84310618067,29,0.0562343438474516,0.055254030404786,"Brazil",0.288888888888889,0.288888888888889
"2952",10,4,2,1,12,29,15.7666666666667,1,36305,1.83932346723044,2302.64270613108,33,0.126849894291755,0.0402272392045734,"Brazil",0.2,0.311111111111111
